bias_len,bias_mult,entry_type,entry_len,entry_mult,n,hit,pnl,total
89,3,vidya,21,4,2882,71.16585704371964,0.2594812503087551,747.8249633898322
89,3,vidya,34,2,3124,70.32650448143406,0.2265648348297686,707.7885440081972
89,3,vidya,34,3,3295,71.38088012139605,0.35270697174947124,1162.1694719145078
89,3,vidya,34,4,2922,70.94455852156058,0.343200962674539,1002.833212935003
89,3,vidya,55,2,2557,70.55142745404771,0.36406112258109125,930.9042904398503
89,3,vidya,55,3,2142,70.16806722689076,0.3413910220340093,731.2595691968479
89,3,vidya,55,4,1845,69.86449864498645,0.25480912630142993,470.1228380261382
100,2,ema,14,2,6938,65.46555203228596,0.05430363245203616,376.7586019522269
100,2,ema,14,3,3859,66.6753044830267,0.18243562319602236,704.0190699134503
100,2,ema,14,4,2230,69.37219730941703,0.2792027807356438,622.6222010404857
100,2,ema,21,2,4974,66.84760755930841,0.12141557633472427,603.9210766889186
100,2,ema,21,3,2798,67.94138670478912,0.17810640822817386,498.34173022243044
100,2,ema,21,4,1495,68.16053511705685,0.08831749327063267,132.03465243959585
100,2,ema,34,2,3139,67.53743230328129,0.25058326434908174,786.5808667917676
100,2,ema,34,3,1570,68.72611464968152,0.2579649462543662,405.00496561935495
100,2,ema,34,4,979,67.72216547497446,0.06932874281029733,67.87283921128109
100,2,ema,55,2,1555,67.84565916398714,0.2924169977766753,454.70843154273007
100,2,ema,55,3,681,69.30983847283406,-0.22891978250355488,-155.89437188492087
100,2,ema,55,4,4147,69.59247648902821,0.1848128899268974,766.4190545268435
100,2,vidya,14,2,1921,69.07860489328475,0.3061698268793682,588.1522374352663
100,2,vidya,14,3,1021,67.87463271302644,0.5677686898547435,579.6918323416932
100,2,vidya,14,4,1825,68.0,0.3466357753991161,632.6102901033869
100,2,vidya,21,2,1447,67.79543883897719,0.3788982513122996,548.2657696488975
100,2,vidya,21,3,3108,68.11454311454311,0.15721748751902553,488.6319512091314
100,2,vidya,21,4,3787,69.94982836017957,0.19749181615094202,747.9015077636175
100,2,vidya,34,2,3869,69.0876195399328,0.21976472261980198,850.2697118160139
100,2,vidya,34,3,3401,69.8029991179065,0.3110664551516765,1057.937013970852
100,2,vidya,34,4,2930,69.24914675767918,0.2743698843348646,803.9037611011532
100,2,vidya,55,2,2563,68.86461178306672,0.28059329623481194,719.160618249823
100,2,vidya,55,3,2140,68.3177570093458,0.30196365670815234,646.202225355446
100,2,vidya,55,4,1841,68.00651819663226,0.19574878124778888,360.37350627717933
100,3,ema,14,2,7579,67.15925583850112,0.11590566332929055,878.4490223726931
100,3,ema,14,3,4514,67.96632698272043,0.21356701303026523,964.0414968186172
