t,S,pnl_pct,hold,flips,bias_len,bias_left,atr_pct,win
1692559800000,-1,0.44407894736843145,337,1,1930,337,0.3881801489467281,True
1693194300000,-1,-3.925035360678919,164,3,457,164,0.44086365746926154,False
1693291500000,-1,-5.02054672145793,56,1,457,56,0.3574679336648584,False
1693883700000,-1,2.795261014439099,1054,7,1449,1054,0.5114166264382959,True
1694079900000,-1,3.10020298948146,836,5,1449,836,0.2331305415855006,True
1694196000000,-1,3.207373271889391,707,3,1449,707,0.31285293017229077,True
1694549700000,-1,-7.294646505925617,314,1,1449,314,0.5351904746738635,False
1695033900000,1,13.384072767774292,497,1,721,497,0.537244961788042,True
1695714300000,-1,-1.2788154130910279,476,3,735,476,0.4260104748851429,False
1695990600000,-1,-6.474438351317868,169,1,735,169,0.5515070040127029,False
1696746600000,-1,1.9721367830649594,771,3,1272,771,0.3381797484629443,True
1697175000000,-1,-5.4701187463499945,295,1,1272,295,0.3597949471270672,False
1698867900000,1,23.484046574928175,563,1,1746,563,0.8928138139498563,True
1699891200000,1,8.508351248553003,1324,11,1710,1324,2.0783560411922632,True
1700052300000,1,10.986129905277409,1145,9,1710,1145,1.2493808362766246,True
1700194500000,1,9.413039853259964,987,7,1710,987,1.371665027484485,True
1700338500000,1,15.48886737657309,827,5,1710,827,0.7912029365939339,True
1700650800000,1,-4.169709361764273,480,3,1710,480,1.2165421261494442,False
1700954100000,1,-7.564978516588006,143,1,1710,143,0.5364713656120355,False
1701252900000,-1,-4.012990025516117,193,1,382,193,0.6910902416593049,False
1701794700000,1,35.95390699577254,1176,9,1585,1176,1.06821881886109,True
1701924300000,1,38.49413072167813,1032,7,1585,1032,0.7872677430221251,True
1702297800000,1,-0.8946766737909284,617,5,1585,617,1.9129545175823714,False
1702510200000,1,-3.0864197530864113,381,3,1585,381,1.2435276696796624,False
1702658700000,1,-8.645651974709057,216,1,1585,216,1.3615206141052254,False
1703061900000,1,6.13289461657982,829,7,946,829,1.0217610742732226,True
1703296800000,1,-0.2833834263632484,568,5,946,568,1.3736988962862522,False
1703481300000,1,-8.103830326052552,363,3,946,363,1.1678432895977258,False
1703668500000,1,-4.729868318496944,155,1,946,155,1.1251260444440065,False
1704439800000,-1,-4.608361364728486,552,5,714,552,0.9284574385056685,False
1704670200000,-1,-15.35689682581738,296,3,714,296,1.1042993946547515,False
1704805200000,-1,-15.11898466419883,146,1,714,146,1.2446341526851352,False
1705536900000,-1,5.951560500147679,863,5,1151,863,0.5321964283414274,True
1705891500000,-1,-1.4281163729029656,469,3,1151,469,0.9580166299724455,False
1706202000000,-1,-7.054802196570664,124,1,1151,124,0.7404450027179993,False
1706511600000,1,57.83367505125769,2408,15,2628,2408,0.6313788818810366,True
1706814000000,1,57.975874668401815,2072,13,2628,2072,0.878638647646898,True
1707130800000,1,42.12635655423966,1720,11,2628,1720,0.7465789832081506,True
1707325200000,1,39.98935509624768,1504,9,2628,1504,0.4903064689155295,True
1707855300000,1,3.863367118599448,915,7,2628,915,0.9794495658435524,True
1708214400000,1,-0.4667297382529023,516,5,2628,516,0.8013694862563321,False
1708424100000,1,-8.476149050311733,283,3,2628,283,1.0974915779727832,False
