iter,ret,mdd
782,262.12,3.4
783,262.13,4
784,262.17,6.16
785,262.23,4.68
786,262.34,4.3
787,262.42,6.97
788,262.43,6.23
789,262.47,8.28
790,262.49,4.58
791,262.5,4.68
792,262.53,4.47
793,262.56,6.25
794,262.58,4.25
795,262.65,5.68
796,262.66,6.7
797,262.69,5.07
798,262.82,5.45
799,262.84,5.36
800,262.87,4.43
801,263.11,4.71
802,263.22,3.95
803,263.23,3.4
804,263.25,5.32
805,263.25,4.47
806,263.27,4.21
807,263.28,4.93
808,263.28,4.64
809,263.3,8.57
810,263.3,3.4
811,263.3,4.79
812,263.32,4.65
813,263.37,5.18
814,263.43,4.44
815,263.46,5.84
816,263.47,3.14
817,263.48,6.2
818,263.48,4.3
819,263.5,5.49
820,263.53,8.15
821,263.59,3.89
822,263.69,3.96
823,263.71,3.47
824,263.72,6.68
825,263.73,5.79
826,263.74,4.21
827,263.75,5.91
828,263.77,6.54
829,263.82,4.21
830,263.88,4.36
831,263.89,3.95
832,263.9,4.72
833,263.93,5.06
834,264.01,3.88
835,264.15,3.65
836,264.22,3.75
837,264.31,3.29
838,264.31,6.56
839,264.32,5.72
840,264.36,5.01
841,264.38,4.68
842,264.39,4.21
843,264.46,5.03
844,264.53,6.51
845,264.55,5.45
846,264.61,4.1
847,264.73,5.24
848,264.74,5.32
849,264.76,3.86
850,264.83,5.49
851,264.85,3.65
852,264.88,4.34
853,264.94,3.64
854,264.96,4.64
855,265.04,3.67
856,265.04,4.19
857,265.06,5.11
858,265.09,4.11
859,265.12,4.26
860,265.16,5.18
861,265.25,3.78
862,265.25,4.6
863,265.26,6.56
864,265.28,4.19
865,265.34,4.57
866,265.38,4.64
867,265.4,7.83
868,265.4,4.72
869,265.42,4.44
870,265.43,4.21
871,265.44,4.04
872,265.48,4.65
873,265.53,4.7
874,265.57,4.99
875,265.66,3.64
876,265.68,4.7
877,265.7,5.24
878,265.79,6.68
879,265.79,5.05
880,265.8,4.12
881,265.8,4.08
882,265.81,8.19
883,265.92,3.67
884,265.93,4.32
885,265.97,5.63
886,265.97,5.7
887,265.99,5.64
888,266.01,5.28
889,266.06,6.89
890,266.09,5.39
891,266.09,4.29
892,266.12,4.69
893,266.15,6.73
894,266.16,5.47
895,266.18,4.14
896,266.2,5.24
897,266.3,4.22
898,266.33,5.26
899,266.36,4.48
900,266.42,6.48
901,266.45,3.57
902,266.49,4.21
903,266.49,5.76
904,266.49,4.08
905,266.5,4.54
906,266.52,4.57
907,266.61,3.68
908,266.63,6.17
909,266.64,4.84
910,266.66,5.5
911,266.68,4.1
912,266.69,4.99
913,266.72,3.78
914,266.72,6.38
915,266.75,3.96
916,266.75,5.64
917,266.77,5.64
918,266.79,3.52
919,266.87,6.82
920,266.87,4.95
921,266.88,5.19
922,266.92,3.94
923,266.93,4.14
924,266.94,4.18
925,266.95,4.68
926,266.96,9.42
927,266.97,5.14
928,266.99,5.62
929,267.08,3.67
930,267.1,5.47
931,267.13,3.32
932,267.16,3.88
933,267.17,4.28
934,267.2,3.67
935,267.22,5.93
936,267.28,4.21
937,267.36,4.68
938,267.39,6.09
939,267.39,3.59
940,267.4,4.19
941,267.52,5.3
942,267.56,5.63
943,267.64,3.46
944,267.75,5.24
945,267.78,4.78
946,267.79,4.22
947,267.81,6.64
948,267.87,4.21
949,267.92,3.18
950,268.02,3.71
951,268.05,3.93
952,268.07,4.21
953,268.09,4.11
954,268.13,5.08
955,268.2,6.03
956,268.21,6.1
957,268.27,4.53
958,268.32,3.39
959,268.32,6.6
960,268.37,3.96
961,268.42,4.15
962,268.42,5.56
963,268.43,6.87
964,268.5,4.6
965,268.57,4.85
966,268.59,6.17
967,268.6,5.29
968,268.64,4.21
969,268.68,6.33
970,268.69,3.3
971,268.7,3.78
972,268.72,4.11
973,268.74,3.92
974,268.77,3.15
975,268.8,6.37
976,268.84,5.33
977,268.85,4.21
978,268.85,4.73
