symbol,state,tEntry
SOLUSDT,0,2025-06-08T17:00
SOLUSDT,1,2025-06-09T10:30
SOLUSDT,0,2025-06-20T15:15
SOLUSDT,1,2025-07-31T13:30
SOLUSDT,0,2025-08-22T14:30
SOLUSDT,0,2025-09-01T00:15
SOLUSDT,0,2025-10-01T08:45
SOLUSDT,1,2025-10-09T08:45
SOLUSDT,0,2025-11-12T16:45
SOLUSDT,2,2025-11-26T18:45
SOLUSDT,2,2025-12-01T00:00
SOLUSDT,2,2025-12-09T16:00
SOLUSDT,0,2025-12-18T19:45
SOLUSDT,0,2025-12-25T23:45
SOLUSDT,0,2026-02-17T14:45
SOLUSDT,2,2026-03-02T15:30
SOLUSDT,0,2026-03-22T00:00
SOLUSDT,1,2026-06-14T21:45
SOLUSDT,2,2026-06-25T13:45
XRPUSDT,0,2021-01-06T14:30
XRPUSDT,0,2021-02-08T14:00
XRPUSDT,0,2021-04-01T01:00
XRPUSDT,0,2021-04-25T21:30
XRPUSDT,2,2021-06-05T11:15
XRPUSDT,2,2021-06-17T17:45
XRPUSDT,2,2021-07-23T23:00
XRPUSDT,2,2021-07-26T00:45
XRPUSDT,0,2021-08-31T16:00
XRPUSDT,2,2021-12-13T02:00
XRPUSDT,2,2021-12-28T01:00
XRPUSDT,0,2021-12-31T19:15
XRPUSDT,1,2022-01-07T03:45
XRPUSDT,2,2022-02-28T15:45
XRPUSDT,2,2022-03-07T19:45
XRPUSDT,0,2022-03-11T20:30
XRPUSDT,2,2022-04-08T11:45
XRPUSDT,2,2022-04-15T02:00
XRPUSDT,2,2022-06-03T09:30
XRPUSDT,2,2022-06-07T18:30
XRPUSDT,2,2022-07-05T20:00
XRPUSDT,2,2022-07-25T01:30
XRPUSDT,0,2023-01-16T03:45
XRPUSDT,2,2023-01-30T09:45
XRPUSDT,2,2023-02-17T20:45
XRPUSDT,0,2023-03-19T10:45
XRPUSDT,0,2023-03-23T08:00
XRPUSDT,0,2023-03-25T05:15
XRPUSDT,2,2023-05-18T10:15
XRPUSDT,0,2023-07-30T10:00
XRPUSDT,0,2023-08-24T14:30
