symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,cycleAge,slowAge,cfLag,pullLag
TRXUSDT,-1,2021-05-19 02:00,2021-05-19 02:45,0.11037,0.108163,TP,4,1.86,0.93,1,585,0,0
NEARUSDT,-1,2021-05-21 13:30,2021-05-21 14:15,3.9612,3.881976,TP,4,1.86,0.93,2,443,0,1
AVAXUSDT,-1,2021-05-21 14:15,2021-05-21 14:30,22.768,22.31264,TP,2,1.86,0.93,1,369,0,0
ADAUSDT,-1,2021-05-21 14:30,2021-05-21 14:45,1.601,1.63302,SL,2,-2.14,-1.07,1,362,0,0
LINKUSDT,-1,2021-05-21 14:30,2021-05-21 14:45,27.197,26.65306,TP,2,1.86,0.93,1,994,0,0
LTCUSDT,-1,2021-05-21 14:30,2021-05-21 14:45,185.94,189.6588,SL,2,-2.14,-1.07,1,828,0,0
ETHUSDT,-1,2021-05-21 14:45,2021-05-21 15:00,2518.7,2569.074,SL,2,-2.14,-1.07,1,788,0,0
BNBUSDT,-1,2021-05-21 14:45,2021-05-21 15:00,342.48,335.6304,TP,2,1.86,0.93,1,826,0,0
FILUSDT,-1,2021-05-21 15:00,2021-05-21 15:15,76.776,75.24048,TP,2,1.86,0.93,1,1194,0,0
TRXUSDT,-1,2021-05-21 15:15,2021-05-21 15:45,0.08107,0.079449,TP,3,1.86,0.93,1,830,0,0
BTCUSDT,-1,2021-05-21 15:30,2021-05-21 15:45,37363.5,36616.23,TP,2,1.86,0.93,1,1031,0,0
DOGEUSDT,-1,2021-05-21 15:30,2021-05-21 15:45,0.35583,0.348713,TP,2,1.86,0.93,1,384,0,0
ETHUSDT,1,2021-05-26 00:15,2021-05-26 01:00,2651.76,2704.7952,TP,4,1.86,0.93,4,126,0,3
BNBUSDT,1,2021-05-26 02:45,2021-05-26 03:30,354.32,361.4064,TP,4,1.86,0.93,1,133,0,0
XRPUSDT,1,2021-05-27 12:30,2021-05-27 13:15,1.0073,1.027446,TP,4,1.86,0.93,3,241,0,2
SOLUSDT,-1,2021-05-31 04:00,2021-05-31 05:15,27.805,28.3611,SL,6,-2.14,-1.07,3,263,0,2
SOLUSDT,1,2021-06-02 11:00,2021-06-02 11:30,31.775,32.4105,TP,3,1.86,0.93,3,196,0,2
SOLUSDT,1,2021-06-05 02:30,2021-06-05 02:45,41.043,41.86386,TP,2,1.86,0.93,1,450,0,0
XRPUSDT,-1,2021-06-05 11:15,2021-06-05 12:00,0.9502,0.931196,TP,4,1.86,0.93,1,117,0,0
DOTUSDT,-1,2021-06-05 11:30,2021-06-05 12:00,24.149,23.66602,TP,3,1.86,0.93,1,97,0,0
LTCUSDT,-1,2021-06-05 11:30,2021-06-05 12:00,174.83,171.3334,TP,3,1.86,0.93,1,115,0,0
LTCUSDT,-1,2021-06-07 16:30,2021-06-07 18:15,175.81,172.2938,TP,8,1.86,0.93,1,327,0,0
XRPUSDT,-1,2021-06-07 17:00,2021-06-07 20:45,0.9342,0.915516,TP,16,1.86,0.93,1,332,0,0
LINKUSDT,-1,2021-06-07 17:30,2021-06-07 20:15,27.131,26.58838,TP,12,1.86,0.93,1,333,0,0
TRXUSDT,-1,2021-06-07 18:00,2021-06-07 20:45,0.07609,0.074568,TP,12,1.86,0.93,1,325,0,0
