symbol,S,pnl,win,exitType,hold,fastCycleLen,slowAge,confLag,pullLag,pullDepth,entryVsZone,volConfirm,volEntry,atrPct,zoneWidth,zoneAge,zoneMerged,slowStrength,moveFromFlip,emaSlope,hour,rangePct
IMXUSDT,-1,1.9,1,TP,15,5,169,0,4,0.14,0.79,1.1,0.77,0.74,0.74,67,0,1.95,-0.12,-1,10,0.63
IMXUSDT,-1,1.9,1,TP,4,1,427,0,0,-1.22,2.54,0.89,0.89,0.95,0.42,32,0,0.42,0,-1,3,0.68
IMXUSDT,1,-2.1,0,SL,4,2,187,0,1,0.07,0.04,1.19,1.02,0.4,0.36,12,0,1.25,-0.14,1,19,0.31
IMXUSDT,1,1.9,1,TP,57,17,281,0,16,0.15,2.47,1.75,0.78,0.98,0.55,114,0,2.85,0.54,1,19,1.32
IMXUSDT,1,-2.1,0,SL,25,17,424,0,16,0.44,4.04,0.98,1.52,0.72,0.55,257,0,2.06,-0.32,1,7,1.09
IMXUSDT,1,-2.1,0,SL,1,10,557,0,9,0.63,1.83,1.07,1.79,1.03,0.51,18,0,1.61,-1.41,1,16,1.28
IMXUSDT,-1,1.9,1,TP,126,2,602,0,1,-0.22,0.32,0.7,0.33,0.4,0.43,177,0,1.02,0.04,-1,20,0.16
IMXUSDT,1,-2.1,0,SL,10,3,347,0,2,-0.27,1.48,0.86,0.5,0.48,0.56,116,0,1.13,-0.32,1,7,0.24
IMXUSDT,1,-2.1,0,SL,16,6,422,0,5,-0.51,0.7,0.7,0.7,0.53,0.56,188,0,0.91,-0.42,1,2,0.33
IMXUSDT,1,1.9,1,TP,48,8,164,1,6,0.33,-1.8,2.3,1.07,0.45,0.36,142,0,0.91,-0.75,1,7,0.62
IMXUSDT,1,-2.1,0,SL,40,1,185,0,0,-3.37,4.25,1.32,1.32,0.64,0.38,3,0,1.17,0,1,0,0.79
IMXUSDT,1,-2.1,0,SL,8,2,374,0,1,-0.67,1.21,1.39,1.86,0.53,0.45,112,1,0.57,-0.26,1,0,0.84
IMXUSDT,-1,1.9,1,TP,62,12,423,0,11,0.65,0.02,2.89,0.85,0.72,0.52,0,1,0.87,-0.31,-1,18,1.05
IMXUSDT,-1,1.9,1,TP,167,7,634,0,6,0.2,4.35,1.04,0.36,0.36,0.53,216,1,1.12,-0.32,-1,22,0.28
IMXUSDT,-1,1.9,1,TP,3,1,1192,0,0,-2.86,3.43,0.56,0.56,0.73,0.21,177,0,0.74,0,-1,18,0.91
IMXUSDT,-1,1.9,1,TP,5,5,1732,0,4,-0.35,4.13,0.6,0.46,0.41,0.26,115,0,0.38,-0.23,-1,9,0.28
IMXUSDT,-1,-2.1,0,SL,27,8,297,7,0,-3.1,1.55,7.92,7.92,0.47,0.77,0,2,0.72,1.34,-1,5,1.34
IMXUSDT,-1,-2.1,0,SL,29,1,399,0,0,-2.03,5.4,0.86,0.86,0.36,0.57,47,1,0.96,0,-1,7,0.23
IMXUSDT,-1,-2.1,0,SL,151,6,414,0,5,-0.06,2.17,0.35,0.45,0.53,0.55,11,0,0.89,-0.46,-1,4,0.39
IMXUSDT,-1,1.9,1,TP,104,17,774,0,16,-0.01,0.73,0.72,0.85,0.25,0.44,205,0,0.57,-0.13,-1,22,0.18
IMXUSDT,-1,-2.1,0,SL,49,5,1147,0,4,-0.41,2.79,0.3,1.19,0.6,0.06,38,0,1.74,-0.76,-1,19,0.98
IMXUSDT,1,1.9,1,TP,77,13,251,0,12,0.2,3.94,5.05,0.57,0.56,0.3,56,0,1.5,-0.63,1,13,0.53
IMXUSDT,1,1.9,1,TP,1,6,485,0,5,-8.89,9.17,1.33,156.86,1.26,0.35,21,0,1.97,13.29,1,0,12.44
IMXUSDT,-1,1.9,1,TP,18,1,300,0,0,-2.64,4.9,1.46,1.46,0.42,0.63,86,0,1.29,0,-1,8,0.39
IMXUSDT,-1,-2.1,0,SL,20,8,612,0,7,0.6,-0.95,0.34,1.41,0.58,0.28,105,0,1.39,-0.58,-1,14,0.95
IMXUSDT,-1,-0.564,0,TIMEOUT,86,12,282,0,11,-0.16,8.87,0.73,0.2,0.38,0.43,270,0,1.18,-0.13,-1,19,0.2
IMXUSDT,-1,1.9,1,TP,109,4,517,0,3,-1.21,1.96,0.53,0.72,0.33,0.22,165,0,0.98,-0.02,-1,6,0.43
IMXUSDT,-1,-1.684,0,TIMEOUT,134,2,973,0,1,0.02,-0.47,2.27,1.55,0.37,0.29,39,0,1.08,-0.49,-1,0,0.6
IMXUSDT,1,1.9,1,TP,33,2,165,0,1,-0.78,2.29,1.03,1.35,0.81,0.81,426,0,2.29,-0.24,1,16,1.24
IMXUSDT,1,-2.1,0,SL,14,9,357,0,8,0.06,1.97,2.4,0.42,1.8,0.66,91,0,4.33,-1.88,1,17,1.6
IMXUSDT,1,1.9,1,TP,5,10,538,0,9,0.08,0.65,2.44,1.11,1.36,0.63,92,0,3.78,-0.39,1,14,1.52
IMXUSDT,1,-2.1,0,SL,8,7,692,0,6,-0.2,1.68,1.76,0.68,1.22,0.62,249,0,1.87,-2.5,1,5,0.81
IMXUSDT,1,-2.1,0,SL,11,7,305,0,6,-0.02,1.11,1.21,0.63,1.19,0.61,150,0,3.57,-1.64,1,12,1.02
IMXUSDT,-1,1.9,1,TP,9,10,92,0,9,-0.58,1.89,0.94,0.9,0.52,0.34,101,0,1.55,0.07,-1,14,0.39
IMXUSDT,1,-2.1,0,SL,5,11,434,0,10,-0.35,3.27,1.01,0.77,1.37,0.35,87,0,2.85,0.75,1,19,1.38
IMXUSDT,1,-2.1,0,SL,9,9,576,0,8,-0.65,2.08,1.77,1.53,0.83,0.36,231,0,1.7,-0.65,1,6,0.83
IMXUSDT,1,-2.1,0,SL,2,7,964,0,6,0.36,2.21,0.77,0.72,2.27,0.48,16,0,3.55,-4.1,1,7,1.63
IMXUSDT,1,1.9,1,TP,9,7,1257,0,6,-1.17,5.12,2.37,2.25,1.13,0.48,125,0,3.02,-0.8,1,8,2.54
IMXUSDT,1,1.9,1,TP,4,1,1386,0,0,-1.34,7.51,0.75,0.75,1.27,0.46,260,0,2.71,0,1,17,1.65
IMXUSDT,1,1.9,1,TP,3,1,131,0,0,-1.45,0.75,0.53,0.53,1.02,1.13,117,0,2.98,0,1,8,0.74
IMXUSDT,1,1.9,1,TP,2,4,391,0,3,-0.06,-0.17,3.13,1.83,1.15,0.48,4,0,2.15,-2.28,1,1,1.98
IMXUSDT,1,-2.1,0,SL,6,6,602,0,5,-0.35,7.3,1.05,0.53,1.03,0.44,213,0,2.68,-1.51,1,6,0.59
IMXUSDT,-1,1.9,1,TP,6,17,9,0,16,0.33,3.04,4.98,0.5,2.08,0.74,47,0,5.89,2.83,-1,15,2.31
IMXUSDT,-1,1.9,1,TP,6,7,174,0,6,-0.44,3.07,3.09,2.19,0.95,0.77,23,0,2.81,-1.05,-1,9,1.66
IMXUSDT,-1,1.9,1,TP,7,1,420,0,0,-2.2,1.65,2.59,2.59,0.87,0.41,2,0,2.51,0,-1,22,1.41
IMXUSDT,-1,1.9,1,TP,30,1,573,0,0,-2.86,2.03,9.68,9.68,1.09,0.58,0,0,0.73,0,-1,12,5.3
IMXUSDT,-1,1.9,1,TP,32,6,246,0,5,0.4,1.52,1.55,1.18,0.56,0.53,31,0,0.98,-1.67,-1,9,0.73
IMXUSDT,-1,1.9,1,TP,9,13,714,0,12,-0.19,2.9,1.28,0.89,0.74,0.33,113,0,1.57,-0.53,-1,6,0.6
IMXUSDT,1,-2.1,0,SL,10,3,257,0,2,-0.31,11.49,0.49,0.33,0.59,0.48,333,0,1.83,-0.08,1,11,0.31
IMXUSDT,1,1.9,1,TP,12,1,322,0,0,-2.31,7.6,1.38,1.38,0.77,0.55,321,0,0.8,0,1,10,0.74
IMXUSDT,1,1.9,1,TP,12,9,542,0,8,-0.82,5.45,2.22,2.14,0.54,0.38,27,0,1.45,0.25,1,17,0.71
IMXUSDT,1,1.9,1,TP,11,14,680,0,13,-0.3,10.06,3.12,0.48,0.76,0.36,160,0,2.22,-0.17,1,4,0.73
IMXUSDT,1,-2.1,0,SL,3,5,1132,0,4,0.08,2.04,0.51,1,0.94,0.75,27,0,2.08,-1.71,1,21,1.18
IMXUSDT,1,1.9,1,TP,13,9,1191,0,8,0.61,1.79,2.97,1.56,0.83,0.76,82,0,2.19,-1.66,1,12,1.29
IMXUSDT,1,1.9,1,TP,19,6,1529,0,5,0.96,-1.23,0.82,1.43,0.84,0.57,153,0,0.49,-1.96,1,0,1.26
IMXUSDT,1,1.9,1,TP,2,2,1757,0,1,-0.09,0.37,1.83,1.31,0.85,0.25,41,0,1.69,-0.55,1,9,0.96
IMXUSDT,-1,-2.1,0,SL,35,2,193,0,1,-0.05,23.26,0.41,0.51,0.56,1.13,458,0,1.74,-0.36,-1,5,0.47
IMXUSDT,1,1.9,1,TP,6,6,398,0,5,0.02,1.16,1.02,0.66,1.14,0.53,190,0,0.75,-1.14,1,5,1.57
IMXUSDT,-1,1.9,1,TP,2,9,426,0,8,0.07,5.86,1.1,1.18,0.98,1,281,0,2.88,-0.76,-1,16,0.67
IMXUSDT,-1,-2.1,0,SL,7,7,244,0,6,0.28,5.86,0.86,0.58,0.76,1.69,167,0,2.3,-1.07,-1,21,0.88
IMXUSDT,-1,-2.1,0,SL,19,1,262,0,0,-2.25,0.91,3.92,3.92,0.49,0.38,0,0,0.83,0,-1,2,1.15
IMXUSDT,-1,1.9,1,TP,4,5,178,0,4,-0.48,-1.26,1.15,0.5,0.7,0.81,95,0,1.52,-1.4,-1,13,0.63
IMXUSDT,1,1.9,1,TP,29,8,6,0,7,-0.47,8.78,0.64,0.43,1.05,1.09,247,0,3.25,-1.16,1,10,0.59
IMXUSDT,-1,1.9,1,TP,6,9,403,0,8,-0.35,2.22,1.95,0.77,0.58,0.25,6,0,0.9,-0.98,-1,1,0.82
IMXUSDT,-1,1.9,1,TP,6,1,533,0,0,-2.05,5.75,0.96,0.96,0.79,0.73,126,0,1.54,0,-1,10,0.87
IMXUSDT,-1,-2.1,0,SL,6,2,631,0,1,-0.05,0.43,0.42,0.55,1.14,1.02,13,0,2.62,-0.63,-1,10,1.2
IMXUSDT,1,1.9,1,TP,25,4,314,0,3,-0.07,1.16,0.95,1.33,0.72,0.61,212,0,1.6,-1.49,1,18,0.97
IMXUSDT,1,-2.1,0,SL,22,7,498,0,6,-0.11,-0.34,2.15,0.6,0.86,0.62,393,0,0.88,-2.06,1,16,0.45
IMXUSDT,1,-2.1,0,SL,33,17,160,0,16,-0.12,2.94,3.08,0.56,1.09,0.6,771,0,3.09,1.73,1,17,0.76
IMXUSDT,-1,-2.1,0,SL,4,1,116,0,0,-3.76,7.22,3.97,3.97,0.91,0.4,25,0,0.71,0,-1,6,1.23
IMXUSDT,1,-2.1,0,SL,3,6,258,0,5,0.45,0.52,1.12,4.93,1.01,0.32,161,0,2.18,-0.71,1,12,3.06
IMXUSDT,-1,1.9,1,TP,6,1,152,0,0,-2.94,5.46,1.45,1.45,0.57,0.48,18,0,1.18,0,-1,0,0.9
IMXUSDT,-1,1.9,1,TP,44,10,678,0,9,1.39,20.21,2.55,1.73,0.5,0.52,535,0,0.75,-1.54,1,11,1.05
IMXUSDT,-1,1.9,1,TP,59,4,331,0,3,0.55,19.22,1.32,0.93,0.55,0.22,327,0,1.54,-1.53,-1,8,0.72
IMXUSDT,1,-2.1,0,SL,9,16,4,0,15,-0.75,6.03,2.37,0.49,0.84,0.49,1,0,2.4,0.21,1,16,0.88
IMXUSDT,-1,1.9,1,TP,80,9,246,0,8,0.32,2.75,1.19,1.02,0.48,0.31,22,0,1.4,-0.42,-1,5,0.72
IMXUSDT,-1,1.9,1,TP,6,16,437,0,15,-0.03,9.17,11.66,0.17,1.46,0.35,206,0,4.41,-8.29,-1,5,0.66
IMXUSDT,-1,-2.1,0,SL,81,13,275,0,12,-0.27,1.88,0.72,0.69,0.56,0.3,63,0,0.31,-0.12,-1,13,0.69
IMXUSDT,1,-2.1,0,SL,104,9,1,0,8,0.31,0.91,0.89,1.13,0.85,0.31,56,0,2.3,-0.6,1,14,1.38
IMXUSDT,-1,1.9,1,TP,20,4,348,0,3,0.08,22.58,1.25,0.81,0.76,1.2,313,0,1.19,-1.27,-1,8,0.57
IMXUSDT,1,-2.1,0,SL,6,7,129,0,6,0.16,0.27,2.26,4.91,1.1,0.62,67,1,2.02,-2.47,1,14,2.26
IMXUSDT,1,1.9,1,TP,21,9,348,0,8,-0.7,1.51,0.5,0.68,0.74,0.59,53,1,2.28,-0.77,1,19,0.76
IMXUSDT,1,-2.1,0,SL,15,9,201,0,8,0.05,3.49,0.58,0.81,0.86,0.28,44,0,2.38,-1.67,1,0,0.7
IMXUSDT,-1,-2.1,0,SL,8,5,115,0,4,0.08,9.58,0.33,0.55,0.58,0.3,264,0,1.91,-0.08,-1,6,0.49
IMXUSDT,-1,1.9,1,TP,8,1,175,0,0,-2.18,10.25,3.04,3.04,0.69,0.31,328,0,1.96,0,-1,21,1.76
IMXUSDT,-1,1.9,1,TP,6,1,276,0,0,-0.31,1.75,0.63,0.63,1.32,0.62,18,0,2.64,0,-1,17,1.4
IMXUSDT,1,-2.1,0,SL,9,3,416,0,2,0.81,-0.23,3.83,4,0.57,0.48,653,0,1.26,-1.75,1,9,0.97
IMXUSDT,-1,1.9,1,TP,55,1,312,0,0,-3.33,1.46,1.04,1.04,0.65,0.15,102,0,0.69,0,-1,0,0.68
IMXUSDT,1,1.9,1,TP,20,4,537,0,3,-0.74,3.65,1.61,1.78,0.98,0.34,157,0,2.72,-1,1,16,1.36
IMXUSDT,1,-2.1,0,SL,8,4,691,0,3,0.17,3.2,0.65,1.75,0.95,0.34,311,0,2.16,-1.35,1,6,1.28
IMXUSDT,-1,1.9,1,TP,5,1,86,0,0,-2.95,4.58,0.7,0.7,0.9,0.65,161,0,0.36,0,-1,14,0.78
IMXUSDT,-1,1.9,1,TP,32,16,538,0,15,0.08,0.38,1.2,0.59,0.6,0.62,58,0,1.87,-0.61,-1,7,0.58
IMXUSDT,1,1.9,1,TP,10,1,410,0,0,-4.13,4.01,2.58,2.58,0.82,1,77,1,0.72,0,1,16,0.94
