symbol,S,pnl,win,exitType,hold,fastCycleLen,slowAge,confLag,pullLag,pullDepth,entryVsZone,volConfirm,volEntry,atrPct,zoneWidth,zoneAge,zoneMerged,slowStrength,moveFromFlip,emaSlope,hour,rangePct
IMXUSDT,1,1.9,1,TP,13,1,91,0,0,-3.44,2.52,3.84,3.84,0.82,0.31,233,0,0.73,0,1,6,0.98
IMXUSDT,-1,1.9,1,TP,11,4,322,0,3,0.33,-2.13,0.76,9.53,0.58,0.24,101,0,1.6,-0.96,-1,12,1.54
IMXUSDT,1,-2.1,0,SL,2,3,190,0,2,0.22,3.1,0.56,4.14,0.82,0.89,162,2,1.15,-0.94,1,21,1.48
IMXUSDT,1,1.9,1,TP,34,1,650,0,0,-2.48,1.19,1.44,1.44,0.69,0.27,57,0,0.77,0,1,22,0.69
IMXUSDT,-1,1.9,1,TP,7,1,44,0,0,-1.58,2.05,0.54,0.54,0.49,0.29,347,0,1.33,0,-1,20,0.29
IMXUSDT,-1,1.9,1,TP,12,1,208,0,0,-2.65,5.36,1.8,1.8,0.73,0.15,63,0,1.61,0,-1,13,0.83
IMXUSDT,-1,1.9,1,TP,47,3,439,0,2,-0.56,5.01,1.12,0.58,0.45,0.15,79,0,0.65,-0.23,-1,20,0.39
BTCUSDT,1,1.9,1,TP,10,1,435,0,0,-2.66,3.87,1.46,1.46,0.68,0.74,266,0,1.79,0,1,0,0.82
BTCUSDT,-1,1.9,1,TP,12,1,848,0,0,-2.34,16.63,1.45,1.45,0.69,0.56,411,0,1.79,0,-1,16,0.83
BTCUSDT,1,1.9,1,TP,1,1,577,0,0,-3.91,8.53,4.81,4.81,0.75,0.19,243,0,1.08,0,1,12,3.75
BTCUSDT,1,1.9,1,TP,2,1,865,0,0,-1.98,4.46,0.6,0.6,0.74,0.34,35,0,1.97,0,1,12,0.53
BTCUSDT,-1,1.9,1,TP,2,1,318,0,0,-1.48,1.72,0.75,0.75,1.11,2,246,0,2.7,0,-1,21,0.81
BTCUSDT,1,1.9,1,TP,7,1,167,0,0,-3.77,9.04,4.06,4.06,0.63,0.31,391,0,1.88,0,1,8,1.42
BTCUSDT,-1,-2.1,0,SL,22,4,201,0,3,-0.04,4.96,1.01,1.26,0.79,0.61,391,0,2,-0.59,-1,12,0.75
BTCUSDT,-1,1.9,1,TP,4,1,137,0,0,-2.68,4.27,1.21,1.21,0.7,0.46,39,0,1.79,0,-1,19,1.14
BTCUSDT,-1,1.9,1,TP,8,1,331,0,0,-4.17,6.36,2.89,2.89,0.75,0.61,33,0,0.7,0,-1,20,1.61
BTCUSDT,1,1.9,1,TP,3,1,211,0,0,-3.55,11.56,2.53,2.53,0.56,0.32,260,0,1.51,0,1,9,0.83
BTCUSDT,-1,1.9,1,TP,41,4,488,1,2,0.3,-1.65,2.06,2.37,0.72,0.7,289,0,1.89,-1.07,-1,12,1.21
BTCUSDT,-1,1.9,1,TP,9,1,169,0,0,-2.21,1.53,1.94,1.94,0.73,0.58,96,0,1.64,0,-1,16,1.09
BTCUSDT,-1,1.9,1,TP,1,1,1031,0,0,-2.25,2.99,1.24,1.24,2.42,1.52,109,0,4.48,0,-1,15,2.75
BTCUSDT,-1,-2.1,0,SL,27,4,139,1,2,-1.71,0.95,0.99,1.66,0.71,0.23,50,0,1.16,1.03,-1,17,1.64
BTCUSDT,-1,1.9,1,TP,12,4,263,3,0,-2.82,0.65,2.13,2.13,0.48,0.42,113,1,0.79,0.7,-1,0,0.61
BTCUSDT,1,1.9,1,TP,9,4,107,0,3,-0.04,0.25,0.41,0.4,0.3,0.22,105,0,0.93,-0.19,1,19,0.17
BTCUSDT,-1,1.9,1,TP,23,1,258,0,0,-2.79,4.01,1.1,1.1,0.51,0.32,4,0,1.48,0,-1,11,0.49
BTCUSDT,1,1.9,1,TP,2,1,906,0,0,-4.7,5.61,3.38,3.38,0.48,0.23,4,0,0.35,0,1,20,0.62
BTCUSDT,1,-1.334,0,TIMEOUT,74,1,304,0,0,-2.94,3.89,2.65,2.65,0.46,0.25,155,0,1.22,0,1,1,0.59
BTCUSDT,-1,1.9,1,TP,3,1,139,0,0,-2.03,3.67,1.29,1.29,0.49,0.27,8,0,1,0,-1,5,0.52
BTCUSDT,1,-0.828,0,TIMEOUT,89,1,343,0,0,-3.16,4.23,1.44,1.44,0.37,0.14,44,0,1.04,0,1,4,0.39
BTCUSDT,1,-2.1,0,SL,35,1,393,0,0,-2.77,2.51,0.7,0.7,0.64,0.32,211,0,1.07,0,1,1,0.41
BTCUSDT,1,-2.1,0,SL,112,1,362,0,0,-4.46,7.56,5.82,5.82,0.48,0.28,107,0,0.5,0,1,9,0.95
BTCUSDT,-1,1.9,1,TP,3,3,252,0,2,-0.68,2.64,2.94,1.28,0.87,0.58,73,1,1.98,0.05,-1,8,0.89
BTCUSDT,1,-2.1,0,SL,32,4,159,0,3,-0.15,3.66,0.33,0.57,0.59,0.77,19,0,0.48,-0.07,1,19,0.51
BTCUSDT,1,1.9,1,TP,7,1,234,0,0,-4.47,4.82,4.15,4.15,0.47,0.26,103,0,1.24,0,1,17,0.95
BTCUSDT,-1,1.9,1,TP,4,1,325,0,0,-3.19,4.5,5.07,5.07,0.95,0.7,44,0,2.18,0,-1,10,3.2
BTCUSDT,1,1.9,1,TP,13,1,195,0,0,-2.35,0.16,1.8,1.8,0.54,0.18,84,0,0.22,0,1,16,0.91
BTCUSDT,-1,1.9,1,TP,39,3,317,0,2,-1.01,1.64,1.62,3.72,0.41,0.48,4,1,1.01,-0.45,-1,13,1.07
BTCUSDT,1,1.9,1,TP,12,1,272,0,0,-2.42,3.56,2.28,2.28,0.54,0.13,48,0,1.09,0,1,17,0.87
BTCUSDT,-1,1.9,1,TP,42,1,471,0,0,-1.94,0.92,1.22,1.22,0.48,0.11,46,0,0.39,0,-1,23,0.41
BTCUSDT,-1,1.9,1,TP,40,4,808,0,3,-0.2,2.71,0.67,1.38,0.74,0.91,32,0,1.74,-0.33,-1,1,0.68
BTCUSDT,-1,1.9,1,TP,20,1,225,0,0,-3.5,3.21,5.75,5.75,0.45,0.43,0,0,0.41,0,-1,8,1.58
BTCUSDT,-1,-0.8,0,TIMEOUT,210,1,166,0,0,-3.02,5.34,0.91,0.91,0.44,0.14,39,0,1.09,0,-1,11,0.42
BTCUSDT,-1,1.9,1,TP,6,1,231,0,0,-2.35,1.56,2.04,2.04,0.65,0.43,2,0,1.64,0,-1,22,1.14
BTCUSDT,-1,-2.1,0,SL,2,3,290,0,2,0.03,0.12,0.44,0.42,0.92,0.2,34,0,1.19,-0.53,-1,16,0.58
BTCUSDT,1,1.9,1,TP,4,1,336,0,0,-3.97,2.79,4.38,4.38,0.58,0.35,66,0,1.48,0,1,5,1.18
BTCUSDT,-1,1.9,1,TP,69,1,152,0,0,-2.86,5.84,2.66,2.66,0.61,0.18,166,0,1.1,0,-1,2,1.08
BTCUSDT,1,1.9,1,TP,128,1,228,0,0,-2.56,3.97,2.26,2.26,0.37,0.25,19,0,1.05,0,1,23,0.52
BTCUSDT,-1,1.9,1,TP,34,1,126,0,0,-1.36,3.59,0.39,0.39,0.43,0.18,18,0,0.87,0,-1,10,0.29
BTCUSDT,-1,-2.1,0,SL,116,3,600,0,2,-0.27,2.23,2.69,1.87,0.54,0.24,47,0,1.08,-0.92,-1,9,0.81
