symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,mfeR,maeR,mfeMaxPct,maeMaxPct,cycleAge,slowAge,slowLeft,cfLag,pullLag,entryVsZone,pullDepth,volConfirm,volEntry,atrPct,zoneAge,emaSlope,hour
LTCUSDT,1,2021-06-11 06:00,2021-06-11 15:00,171.19,167.7662,SL,37,-2.14,-1.07,0.52,1.18,1.05,2.35,2,124,49,0,1,1.5,-0.55,0.64,1.41,0.88,23,1,6
ETHUSDT,-1,2021-06-24 03:30,2021-06-24 07:15,1901.71,1939.7442,SL,16,-2.14,-1.07,0.3,1.08,0.6,2.17,3,271,356,0,2,14.84,-1.08,0.85,1.99,0.92,318,-1,3
DOGEUSDT,1,2021-06-27 04:30,2021-06-27 06:30,0.24772,0.242766,SL,9,-2.14,-1.07,0.46,1.06,0.92,2.12,4,305,326,0,3,19.4,0.01,0.78,1,1.18,399,1,4
NEARUSDT,1,2021-07-01 00:00,2021-07-01 02:15,2.0462,2.005276,SL,10,-2.14,-1.07,0.38,1.02,0.75,2.05,3,163,687,0,2,4.93,0.12,1.09,2.08,0.95,491,1,0
LTCUSDT,1,2021-07-01 00:00,2021-07-01 03:30,142.42,139.5716,SL,15,-2.14,-1.07,0.49,1.05,0.98,2.11,2,251,47,0,1,4.63,0.18,0.93,1.69,0.72,191,1,0
BTCUSDT,-1,2021-07-06 17:00,2021-07-06 23:45,33602.29,34274.3358,SL,28,-2.14,-1.07,0.15,1.12,0.3,2.25,4,139,354,1,2,0.95,-1.71,0.99,1.66,0.71,50,-1,17
ADAUSDT,1,2021-07-07 14:15,2021-07-08 00:00,1.4267,1.3992,TIMEOUT,40,-2.068,-1.034,0.06,1,0.12,2,2,403,20,0,1,0.7,0.49,0.83,0.92,0.45,136,1,14
ETHUSDT,-1,2021-07-10 14:30,2021-07-10 16:15,2106.7,2148.834,SL,8,-2.14,-1.07,0.13,1.22,0.26,2.44,4,229,720,0,3,1.62,-0.2,0.87,0.68,0.59,65,-1,14
LTCUSDT,-1,2021-07-10 20:00,2021-07-10 23:00,131.56,134.1912,SL,13,-2.14,-1.07,0.15,1.14,0.3,2.28,2,504,136,0,1,2.16,-0.58,0.39,1.03,0.55,241,-1,20
ADAUSDT,-1,2021-07-10 21:00,2021-07-11 21:30,1.3289,1.355478,SL,99,-2.14,-1.07,0.24,1.19,0.49,2.38,4,255,912,0,3,5.04,0.2,0.88,0.47,0.49,203,-1,21
ETHUSDT,-1,2021-07-15 12:00,2021-07-15 21:15,1897.93,1935.8886,SL,38,-2.14,-1.07,0.46,1,0.93,2.01,3,699,220,0,2,4.65,-2.26,0.59,4.41,0.9,30,-1,12
DOGEUSDT,-1,2021-07-30 09:15,2021-07-30 10:30,0.1963,0.200226,SL,6,-2.14,-1.07,0.07,1.08,0.15,2.17,1,289,69,0,0,5.44,-4.66,2.95,2.95,0.85,3,-1,9
XRPUSDT,1,2021-08-02 08:15,2021-08-02 20:30,0.7484,0.733432,SL,50,-2.14,-1.07,0.57,1.11,1.15,2.22,4,1122,36,0,3,1.55,-0.18,1.25,1.34,0.95,4,1,8
ETHUSDT,1,2021-08-02 17:00,2021-08-03 01:30,2626.77,2574.2346,SL,35,-2.14,-1.07,0.71,1.18,1.43,2.35,4,1184,67,0,3,12.95,-0.1,1.25,1.02,0.8,276,1,17
DOTUSDT,1,2021-08-06 13:00,2021-08-06 13:45,20.095,19.6931,SL,4,-2.14,-1.07,0.01,1.21,0.02,2.41,1,179,257,0,0,8.43,-3.99,5.26,5.26,1.12,417,1,13
LINKUSDT,1,2021-08-06 18:45,2021-08-06 21:45,24.114,23.63172,SL,13,-2.14,-1.07,0.39,1.03,0.77,2.06,3,1555,193,0,2,1.98,-1.04,0.51,0.85,0.91,134,1,18
TRXUSDT,1,2021-08-13 07:15,2021-08-13 15:00,0.08796,0.086201,SL,32,-2.14,-1.07,0.47,1.03,0.94,2.07,1,216,402,0,0,19.18,-2.68,1.45,1.45,0.82,317,1,7
ADAUSDT,1,2021-08-15 23:30,2021-08-16 03:45,2.1646,2.121308,SL,18,-2.14,-1.07,0.61,1.19,1.22,2.38,3,1156,164,0,2,1.61,-0.02,0.92,0.9,0.85,12,1,23
BTCUSDT,1,2021-08-23 01:30,2021-08-23 20:00,49882.38,49267,TIMEOUT,75,-1.374,-0.687,0.72,0.81,1.44,1.62,1,304,88,0,0,3.89,-2.94,2.65,2.65,0.46,155,1,1
BNBUSDT,1,2021-08-27 22:00,2021-08-29 03:30,490.59,480.7782,SL,119,-2.14,-1.07,0.71,1.05,1.42,2.1,3,777,131,0,2,23.19,-0.03,1.07,1.05,0.53,762,1,22
LINKUSDT,-1,2021-08-29 18:15,2021-08-29 22:15,25.439,25.94778,SL,17,-2.14,-1.07,0.1,1.06,0.19,2.12,4,488,151,0,3,1.1,-0.22,0.62,0.54,0.58,78,-1,18
TRXUSDT,1,2021-08-30 21:00,2021-08-30 23:15,0.08837,0.086603,SL,10,-2.14,-1.07,0.11,1.06,0.22,2.12,3,248,713,0,2,0.79,-0.41,1.06,2.16,0.46,7,1,21
LINKUSDT,-1,2021-08-31 04:00,2021-08-31 07:30,25.372,25.87944,SL,15,-2.14,-1.07,0.86,1.07,1.72,2.14,2,623,18,0,1,0.08,0.36,0.61,0.82,0.9,131,-1,4
AVAXUSDT,1,2021-09-04 10:45,2021-09-04 14:00,47.541,46.59018,SL,14,-2.14,-1.07,0.89,1.22,1.77,2.43,2,143,272,0,1,0.4,0.32,0.64,1.9,1.63,67,1,10
ETHUSDT,1,2021-09-05 14:45,2021-09-07 08:00,3924.96,3857.7,TIMEOUT,166,-1.854,-0.927,0.84,0.94,1.69,1.88,3,847,7,0,2,5.36,0.21,0.52,1.44,0.48,214,1,14
TRXUSDT,1,2021-09-17 04:15,2021-09-17 06:30,0.11921,0.116826,SL,10,-2.14,-1.07,0.59,1.04,1.17,2.08,4,552,27,0,3,26.25,-0.87,1.06,0.8,0.83,798,1,4
BTCUSDT,1,2021-09-18 04:45,2021-09-19 03:00,48322.61,47970.99,TIMEOUT,90,-0.868,-0.434,0.55,0.76,1.09,1.52,1,343,83,0,0,4.23,-3.16,1.44,1.44,0.37,44,1,4
NEARUSDT,-1,2021-09-29 16:30,2021-09-29 22:30,6.5182,6.648564,SL,25,-2.14,-1.07,0.98,1.05,1.96,2.11,1,399,146,0,0,2.44,-3.06,0.93,0.93,1.36,28,-1,16
SOLUSDT,1,2021-09-30 01:45,2021-09-30 08:15,138.626,135.85348,SL,27,-2.14,-1.07,0.97,1.02,1.95,2.04,1,232,562,0,0,1.67,-2.04,0.66,0.66,0.82,329,1,1
DOGEUSDT,1,2021-10-04 14:30,2021-10-04 14:45,0.22398,0.2195,SL,2,-2.14,-1.07,0.06,1.19,0.13,2.39,4,304,603,0,3,1.15,-0.44,2.34,2.09,1.54,49,1,14
LTCUSDT,1,2021-10-06 13:15,2021-10-07 00:15,180.24,176.6352,SL,45,-2.14,-1.07,0.86,1.1,1.73,2.2,1,600,522,0,0,4.2,-3.97,2.86,2.86,1.28,270,1,13
ETHUSDT,1,2021-10-06 13:30,2021-10-07 01:15,3586.59,3514.8582,SL,48,-2.14,-1.07,0.72,1.11,1.43,2.21,1,611,372,0,0,1.58,-3.47,1.97,1.97,1.07,54,1,13
TRXUSDT,1,2021-10-06 14:15,2021-10-07 01:15,0.0956,0.093688,SL,45,-2.14,-1.07,0.89,1.12,1.79,2.25,1,602,448,0,0,8.71,-1.62,0.64,0.64,0.86,565,1,14
DOGEUSDT,1,2021-10-08 11:30,2021-10-08 13:00,0.24887,0.243893,SL,7,-2.14,-1.07,0.09,1.14,0.18,2.28,3,676,226,0,2,0.67,0.08,0.79,0.83,0.94,93,1,11
LTCUSDT,1,2021-10-09 17:30,2021-10-10 01:15,180.2,176.596,SL,32,-2.14,-1.07,0.67,1.07,1.34,2.14,3,905,230,0,2,1.52,0.26,2.22,1.28,0.7,152,1,17
AVAXUSDT,-1,2021-10-15 12:15,2021-10-15 17:45,55.207,56.31114,SL,23,-2.14,-1.07,0.46,1.2,0.92,2.4,2,1040,60,0,1,9.88,-0.68,0.49,0.67,0.89,524,-1,12
TRXUSDT,1,2021-10-17 14:30,2021-10-17 20:00,0.10086,0.098843,SL,23,-2.14,-1.07,0.57,1.41,1.13,2.83,4,325,464,0,3,3.53,-0.66,3.46,1.89,0.68,299,1,14
BTCUSDT,1,2021-10-18 01:00,2021-10-18 09:45,62553.66,61302.5868,SL,36,-2.14,-1.07,0.2,1.55,0.39,3.09,1,393,327,0,0,2.51,-2.77,0.7,0.7,0.64,211,1,1
BNBUSDT,1,2021-11-01 02:00,2021-11-01 02:30,525.09,514.5882,SL,3,-2.14,-1.07,0.16,1.06,0.32,2.11,4,337,940,0,3,11.38,-0.1,0.75,1.55,0.45,249,1,2
BTCUSDT,1,2021-11-02 09:45,2021-11-03 13:45,63155.43,61892.3214,SL,113,-2.14,-1.07,0.95,1.17,1.89,2.35,1,362,117,0,0,7.56,-4.46,5.82,5.82,0.48,107,1,9
LINKUSDT,1,2021-11-11 11:00,2021-11-11 13:45,36.223,35.49854,SL,12,-2.14,-1.07,0.57,1.13,1.14,2.27,3,563,95,0,2,2.55,-0.48,0.65,0.7,1.29,188,1,11
AVAXUSDT,1,2021-11-19 09:45,2021-11-19 11:00,107.535,105.3843,SL,6,-2.14,-1.07,0.24,1.18,0.49,2.35,1,172,450,0,0,7.69,-2.66,0.94,0.94,1.3,189,1,9
FILUSDT,-1,2021-11-21 13:15,2021-11-21 16:45,53.341,54.40782,SL,15,-2.14,-1.07,0.12,1.08,0.25,2.15,3,961,370,1,1,1.43,-0.02,0.57,0.55,0.46,88,1,13
NEARUSDT,1,2021-11-21 22:30,2021-11-22 00:00,9.7196,9.525208,SL,7,-2.14,-1.07,0.79,1.45,1.57,2.9,4,91,59,0,3,4.33,0.49,0.57,2.16,0.9,429,1,22
TRXUSDT,-1,2021-11-28 02:30,2021-11-28 10:45,0.08999,0.09179,SL,34,-2.14,-1.07,0.16,1.2,0.32,2.4,1,567,79,0,0,3.09,-4.09,10.61,10.61,0.77,0,-1,2
ETHUSDT,1,2021-12-03 13:45,2021-12-03 15:00,4599.2,4507.216,SL,6,-2.14,-1.07,0.03,1.19,0.06,2.38,3,433,13,1,1,-0.84,-0.19,3.85,3.45,0.52,138,1,13
BTCUSDT,1,2021-12-08 19:45,2021-12-09 03:45,50416.92,49408.5816,SL,33,-2.14,-1.07,0.42,1.01,0.84,2.01,4,159,40,0,3,3.66,-0.15,0.33,0.57,0.59,19,1,19
