symbol,S,time,pnl,exitType,fastCycleLen,entryVsZone,pullDepth
BNBUSDT,1,1723888800,1.9,TP,1,6.78,-3.07
BNBUSDT,1,1724083200,1.9,TP,1,3.79,-1.86
BNBUSDT,1,1724533200,-2.1,SL,2,-0.75,-0.16
BNBUSDT,-1,1724984100,-1.525,TIMEOUT,1,1.71,-1.31
BNBUSDT,-1,1727791200,1.9,TP,1,11.78,-3.5
BNBUSDT,1,1731738600,-2.1,SL,3,5.28,-0.36
BNBUSDT,1,1732532400,-2.1,SL,3,2.51,0.1
BNBUSDT,1,1735384500,1.9,TP,1,5.34,-2.21
BNBUSDT,-1,1738647000,1.9,TP,1,7.78,-4.07
BNBUSDT,1,1742176800,1.9,TP,1,2.14,-3.44
BNBUSDT,-1,1743870600,1.9,TP,4,7.98,-0.49
BNBUSDT,1,1745196300,-0.41,TIMEOUT,1,4.88,-4.25
BNBUSDT,1,1745309700,1.9,TP,1,9.1,-2.76
BNBUSDT,-1,1745723700,-0.925,TIMEOUT,1,4.65,-1.89
BNBUSDT,-1,1745935200,-0.336,TIMEOUT,4,3.76,-0.73
BNBUSDT,1,1746675000,1.9,TP,1,2.64,-3.76
BNBUSDT,1,1747038600,1.9,TP,1,3,-2.72
BNBUSDT,1,1747158300,-1.206,TIMEOUT,1,1.14,-1.33
BNBUSDT,-1,1748764800,-0.897,TIMEOUT,1,3.48,-1.68
BNBUSDT,1,1749007800,-1.017,TIMEOUT,1,8.25,-2.51
BNBUSDT,1,1751139000,1.9,TP,3,27.03,-1.18
BNBUSDT,-1,1753417800,-2.1,SL,4,3.19,-0.42
BNBUSDT,1,1754803800,-2.1,SL,4,12.52,-1.25
BNBUSDT,1,1755014400,1.9,TP,1,4.79,-2.59
BNBUSDT,1,1757489400,1.9,TP,3,0.47,-0.62
BNBUSDT,-1,1758771900,1.9,TP,1,4.57,-1.87
BNBUSDT,-1,1760238900,-2.1,SL,2,9.54,0.05
BNBUSDT,-1,1763055000,1.9,TP,1,6.56,-3.06
BNBUSDT,-1,1763564400,1.9,TP,2,2.82,-0.3
BNBUSDT,1,1764127800,1.9,TP,2,1.85,1.21
BNBUSDT,-1,1765119600,-2.1,SL,4,1.04,-1.06
BNBUSDT,1,1765399500,-2.1,SL,4,1.02,0.09
BNBUSDT,1,1767776400,-1.384,TIMEOUT,4,2.19,0.14
BNBUSDT,1,1768632300,1.9,TP,2,2.87,0.03
BNBUSDT,-1,1769100300,-2.1,SL,2,2.07,-0.41
BNBUSDT,1,1772172900,-2.1,SL,4,-0.95,0.1
BNBUSDT,-1,1774746000,1.9,TP,3,1.86,-0.38
BNBUSDT,-1,1775093400,1.9,TP,1,4.29,-3.27
BNBUSDT,1,1775592000,1.9,TP,1,8.6,-2.72
BNBUSDT,-1,1777270500,0.146,TIMEOUT,1,4.29,-2.95
BNBUSDT,-1,1777683600,-0.468,TIMEOUT,2,0.44,-0.08
BNBUSDT,1,1778425200,1.9,TP,1,8.45,-2.12
BNBUSDT,1,1783253700,-0.701,TIMEOUT,1,7.55,-3.9
DOGEUSDT,-1,1606500900,-2.1,SL,4,26.96,-0.34
DOGEUSDT,1,1609907400,1.9,TP,2,25.57,-1.24
DOGEUSDT,-1,1610485200,1.9,TP,3,11.34,-0.26
DOGEUSDT,-1,1611599400,1.9,TP,1,2.19,-1.28
DOGEUSDT,1,1616146200,1.9,TP,3,-1.36,-0.46
DOGEUSDT,-1,1616615100,1.9,TP,1,4.12,-2.72
DOGEUSDT,1,1617930900,1.9,TP,3,0.54,-0.11
DOGEUSDT,-1,1621611000,1.9,TP,1,4.05,-2
DOGEUSDT,-1,1623353400,1.9,TP,3,8.72,-0.32
DOGEUSDT,1,1624768200,-2.1,SL,4,19.4,0.01
DOGEUSDT,-1,1625447700,1.9,TP,1,1.23,-2.1
DOGEUSDT,-1,1626089400,1.9,TP,1,2.05,-1.86
DOGEUSDT,-1,1627636500,-2.1,SL,1,5.44,-4.66
DOGEUSDT,1,1628847900,1.9,TP,2,1.59,-0.19
DOGEUSDT,-1,1631507400,1.9,TP,1,1.77,-1.15
DOGEUSDT,1,1633357800,-2.1,SL,4,1.15,-0.44
DOGEUSDT,1,1633692600,-2.1,SL,3,0.67,0.08
DOGEUSDT,1,1634544000,1.9,TP,3,1.61,-1.3
DOGEUSDT,-1,1636996500,1.9,TP,4,0.47,-0.32
DOGEUSDT,-1,1637745300,1.9,TP,1,3.28,-0.19
DOGEUSDT,-1,1637911800,1.9,TP,1,2.79,-3.34
DOGEUSDT,-1,1638547200,1.9,TP,1,2.25,-3.17
DOGEUSDT,-1,1639067400,-2.1,SL,3,2.81,-0.3
DOGEUSDT,-1,1639961100,1.9,TP,4,1.1,0.13
DOGEUSDT,-1,1642715100,-2.1,SL,1,5.14,-5.37
DOGEUSDT,-1,1643017500,1.9,TP,1,3.79,-2.16
DOGEUSDT,1,1644436800,-2.1,SL,3,1.98,-0.27
DOGEUSDT,1,1644899400,1.9,TP,2,2.6,-0.17
DOGEUSDT,-1,1645325100,1.9,TP,1,3.06,-2.44
DOGEUSDT,1,1647623700,1.9,TP,1,2.08,-2.89
DOGEUSDT,-1,1648941300,1.9,TP,4,0.9,-0.21
