symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,mfeR,maeR,mfeMaxPct,maeMaxPct,cycleAge,slowAge,slowLeft,cfLag,pullLag,entryVsZone,pullDepth,volConfirm,volEntry,atrPct,zoneAge,emaSlope,hour
LTCUSDT,1,2021-03-09 00:30,2021-03-09 01:30,190.69,194.5038,TP,5,1.86,0.93,1.27,0.1,2.55,0.2,1,139,615,0,0,6.57,-1.01,1.21,1.21,0.73,386,1,0
AVAXUSDT,1,2021-03-11 13:45,2021-03-11 14:30,32.2844,31.638712,SL,4,-2.14,-1.07,0.64,1.37,1.27,2.74,4,402,126,0,3,12.98,-0.56,0.71,0.84,1.92,518,1,13
ETHUSDT,1,2021-03-13 10:15,2021-03-13 11:00,1842,1878.84,TP,4,1.86,0.93,1.13,0.14,2.27,0.29,1,635,186,0,0,5.29,-4.34,5.3,5.3,0.65,85,1,10
FILUSDT,1,2021-03-16 15:15,2021-03-16 15:30,57.958,59.11716,TP,2,1.86,0.93,1.3,0.15,2.6,0.29,1,1597,584,0,0,6.54,-4.71,17.83,17.83,1.18,70,1,15
BTCUSDT,-1,2021-03-17 12:30,2021-03-17 18:00,55200.77,56304.7854,SL,23,-2.14,-1.07,0.76,1.34,1.52,2.68,4,201,20,0,3,4.96,-0.04,1.01,1.26,0.79,391,-1,12
NEARUSDT,-1,2021-03-17 22:00,2021-03-17 23:30,6.1524,6.275448,SL,7,-2.14,-1.07,0.21,1.43,0.43,2.86,2,195,269,0,1,18.74,0.21,1.87,0.84,0.89,381,-1,22
TRXUSDT,1,2021-03-19 08:00,2021-03-19 14:15,0.05482,0.055916,TP,26,1.86,0.93,1.62,0.7,3.25,1.4,3,214,367,0,2,14.54,-1.32,0.48,2.24,0.61,377,1,8
DOGEUSDT,1,2021-03-19 09:30,2021-03-20 07:00,0.058698,0.059872,TP,87,1.86,0.93,1.72,0.67,3.44,1.34,3,1651,236,0,2,-1.36,-0.46,2.92,3.01,0.86,518,1,9
DOTUSDT,1,2021-03-19 10:30,2021-03-19 12:00,36.24,36.9648,TP,7,1.86,0.93,1.16,0.02,2.32,0.05,4,129,193,0,3,0.29,-0.31,0.61,0.65,0.66,95,1,10
LINKUSDT,1,2021-03-19 17:15,2021-03-20 00:00,30.263,29.65774,SL,28,-2.14,-1.07,0.26,1.1,0.53,2.19,4,196,132,0,3,0.47,-0.34,0.78,0.93,0.59,2,1,17
SOLUSDT,1,2021-03-20 06:15,2021-03-20 11:45,14.4885,14.77827,TP,23,1.86,0.93,1.16,0.2,2.32,0.41,1,212,86,0,0,14.32,-2.18,1.09,1.09,0.45,248,1,6
XRPUSDT,1,2021-03-20 07:45,2021-03-20 11:00,0.4826,0.492252,TP,14,1.86,0.93,1.98,0.34,3.96,0.68,1,387,428,0,0,3.57,-1.87,1.16,1.16,0.67,127,1,7
LTCUSDT,-1,2021-03-21 02:30,2021-03-21 09:30,197.9,193.942,TP,29,1.86,0.93,1.46,0.45,2.92,0.9,1,540,625,0,0,4.73,-2.33,1.91,1.91,0.6,26,-1,2
BTCUSDT,-1,2021-03-22 19:45,2021-03-22 20:45,55563.91,54452.6318,TP,5,1.86,0.93,1.38,0.45,2.75,0.91,1,137,413,0,0,4.27,-2.68,1.21,1.21,0.7,39,-1,19
ETHUSDT,-1,2021-03-24 19:15,2021-03-24 19:30,1658.32,1625.1536,TP,2,1.86,0.93,1,0.15,2.01,0.3,1,341,206,0,0,5.25,-3.68,1.97,1.97,0.61,29,-1,19
DOTUSDT,-1,2021-03-24 19:15,2021-03-24 20:15,33.88,33.2024,TP,5,1.86,0.93,1.12,0.29,2.25,0.57,1,315,206,0,0,0.67,-3.86,2,2,0.77,51,-1,19
LINKUSDT,-1,2021-03-24 19:30,2021-03-24 20:15,26.25,25.725,TP,4,1.86,0.93,1.15,0.28,2.3,0.56,1,329,193,0,0,5.47,-3.92,4.13,4.13,0.83,30,-1,19
AVAXUSDT,-1,2021-03-24 19:30,2021-03-24 20:15,27.8501,27.293098,TP,4,1.86,0.93,1.17,0.81,2.33,1.62,1,317,334,0,0,0.25,-2.85,1.96,1.96,1.22,1150,-1,19
DOGEUSDT,-1,2021-03-24 19:45,2021-03-24 22:15,0.053514,0.052444,TP,11,1.86,0.93,2.7,0.35,5.39,0.69,1,198,252,0,0,4.12,-2.72,0.84,0.84,0.72,154,-1,19
BTCUSDT,-1,2021-03-24 20:15,2021-03-24 22:15,53777.8,52702.244,TP,9,1.86,0.93,1.96,0.59,3.93,1.18,1,331,215,0,0,6.36,-4.17,2.89,2.89,0.75,33,-1,20
